email,class
"Hello Friend, my name is Sir Ayofemi Abdullahi.  I am the son of King Abdullahi of Nigeria.  I am reaching out to you over what may be a very lucritive partnership between us.  I am due to take the crown in a few weeks and wish to expand the influence of the country.  This will require an international creditor, who you will be.  To set this up, I will only need for you to send me $2000 USD.  This may be done through a check or bitcoin payment.  In return, once my credit is recieved, I will pay you back five times the amount in return.  Do not hesitate to take this offer, as I am waiting to hear back from others.  If you do not act quickly this deal will likely be gone.  Do respond immediately.",1
"Hello, you are invited to my wedding. Please RSVP ASAP!",0
I need money. Give me money. I give you car. Give me money.,1
You have won the lottery! Send $500 in preprocessing fees to get your payout!,1
"Hello, I am sending you this email to ensure that you ge the important documents attached.",0
Please forward me the presentation used in the meeting today. Thank you.,0
Only you can stop inflation! Send me $5000 and I promise that you will see a decrease in all prices immediately!,1
GIVE ME YOUR SOCIAL SECURITY NUMBER OR YOUR ACCOUNTS WILL BE DELETED ON EVERYTHING!!!!,1
hey how was the party?,0
I received your email and would like to discuss our options further. Please call me directly.,0
Your credit score has dropped! Click the link to find out what you can do to raise it. Bit.ly/fjKleuyfaFDHefjFBkerekfiREHkfefeiERIefiffbekREKJerhjebkeeEKLJLKEeepuheflkejfEl,1
"Congratulations! You have been selected as our lottery winner, you and your family have won a four day all expenses paid cruise to the Caribbean Islands!",1
"Security Alert: Unusual debit card activity detected. Dear Valued client, we are letting you know that due to irregular activity on your account, its mandatory for you to verify your account to continue using your credit card. Complete our quick verification process. If not done right away your account may be deactivated automatically. Confirm at http://itcare.co.kr/data/yourbank/index.html",1
Security Alert: Unusual debit card activity detected. Please sign in to your bank account and confirm the activity or contact our fraud department at 1-800-555-3245. https://www.bankofamerica.com,0
"New Login Detected. We noticed you logged in from a new device. If this was you there is nothing for you to do right now. Login - United States. Time- November 30, 2022 at 8:29 PM EST. Not you? Take a few minutes to secure this account. Make sure this email is from a verified sender.",0
"Your User ID was looked up. On August 9, 2022, your Bank User ID was looked up. This happens when you attempt to retreive your ID or when you reset your password using the Forgot ID/Password feature. If you are having problems logging in, call us at 800.933.6262. If you believe someone is fraudulently trying to access your account, please select the ""Fraud"" option.",0
"Dear Customer, This E-mail Has Been Sent to you to inform you that we were unable to process your las payment this might be due to either of the following reasons: 1- A recent change in your personal infromation (Billing Address, phone) or 2- Submitting incorrect payment information during bill payment process. To Update You Account Click Here. Due To This, To ensure that your service is not interrupted, we request you to Confirm and verify your information today.",1
"Your December account statement is available. Hi George, Access your account statements quickly and easily. Log in to your account and select the monthy statement you would like to view.",0
"Hello John1934 Thank you for your recent transaction on Steam. The items below have been added to your Steam Library. If you are new to Steam, you can get the free Steam application Here. This email will serve as your reciept. You can also view your purchase history at any time. Refunds and/or returns may be granted for many products on Steam. Learn more about Steam refunds here, or request a refund here.",0
"Dear Phil Smith, Thank you for your order. Your confirmation number is 35734636. Please keep this number for future reference. If you need the assistance of Customer Care, please visit our Support page.",0
Customer No._44645 We have been trying to to reach you- Please respond!,1
Dementia warning Harvard: deadly breakfast habit increases dementia by 82%,1
"YAY! We Received Your Order Next Up: We're preparing your order placed on January 12, 2023 at 10:06am ET. Check on your order or make changes at Order Status. Is this a gift? Product may arrive in manufacturer packaging and may display brand name and contents. Order Number: 9102239285 Your method of payment for this order is Visa. Order Date: 01/12/23",0
Online Gaming: P͏l͏e͏ase͏ V͏e͏r͏ify Your I͏n͏f͏orma͏t͏io͏n͏!,1
Top Doc: Neuropathic Pain? Do This Immediately,1
CashUSA: You can fund your next big expense or consolidate debt,1
Kick Your Belly Bulge Away in 2 Weeks,1
"Morning Coffee hack loses 32lbs in 24 days. 1TspUnclogs""Stuck""FatInyourLiver If you cannot see the images below, CLICK HERE",1
Congratulations Exclusive offer - play here Please Check Your Account,1
N͏eed͏ em͏er͏g͏en͏c͏y c͏as͏h͏? Ap͏p͏l͏y n͏ow͏!,1
Sell your timeshare! Get Cash and stop maintenance fees for your Timeshare,1
LinkedIn You have 2 new invitations,0
"Hi there! I am here with a team of Veteran Benefit Specialists and we have great news. We believe you may be able to take advantage of the $42,000 VA Benefit this year. If you would like to view your eligibility, please confirm your information below and proceed by clicking the button below.",1
"Hi Lynn, Congratulations! If you are receiving this email we believe you may be eligible for improved Medicare Benefits and lower monthly premiums in 2022-2023. Medicare gives you one last chance to update your plan this year. Simply confirm a few basic details to see how much you could be saving.",1
"Hello Carrie, Thanks! Your payment was accepted. Account Number: *****34352525 Date Processed: 11/13/22 Payment Amount $36.44",0
Must Read don’t delete or mark as spam! You need to fix your account urgently click the ling below,1
"Carrie Gomez, Reminder: Urgent Item, Your Immediate Attention Recommended People looking for you & at your public information could be co-workers, romantic interests, friends, family members & others. With MyLife, you can see, verify & edit what people find about you online. Improve your public Reputation Profile now.",1
Secure your IRA/401k by investing in precious metals YourIRA/401k.Gold.Success,1
Attention! Missing out on major savings at ART VAN. Come on down and see our wide selection! 50% Off Store wide,1
"Hey John, checkin in to see if you could help out with the network interface diagram",0
"You’ve officially got access to thousands of student savings! Here to take the sting out of everyday life, we bring you the most exclusive deals you won’t get anywhere else, straight from your favourite brands.",1
Your package has been delivered! How was your delivery?,0
Thank you for shopping with us. We’ll send a confirmation when your item ships,0
Online Order Receipt for $16.23 at Commerce Township,0
Help us reach 100K subscribers on YouTube by clicking the link below.,1
An electronic withdrawal was made above your chosen alert limit,0
"Get the most out of your SARMs purchase with us! Our products are 3rd party tested for quality and purity, so you can be sure that what you get is 99.9% pure - no guesswork necessary.",1
The best Snaps are on Spotlight. Keep up with the Snapchat community,1
Thank you for adding funds to your Nintendo Account. These funds can now be used to purchase digital games and content from Nintendo. Details of this transaction are below:,0
You appeared in 8 searches this week You were found by people from these companies,1
Where are you on your journey to retirement? Take 2 minutes to watch this video and see if you are on track to live the life you envision.,1
Ease your busy days with DoorDash and save on fast delivery when you shop from the Offers Hub! Get everything you need from mouthwatering meals to pantry essentials and more.,1
"Good news! Your $1000 no-cost AD&D coverage, courtesy of Credit Union ONE, is now available for you to claim.",1
"Get New Features, Plus $7,500 Toward Your Model 3 or Y",1
"Our gift to you this year, FREE SHIPPING on all US orders",1
Your receipt from Apple.,0
Reaching out to you to inform you of our Year End Clearance Blowout Sale!!! The Holiday Season is upon us...,1
LAST CHANCE! Up to 60% off your faves.,1
Hi there! This is Chegg Customer support. We are contacting you because we received a request to change the email address associated with your Chegg account.,0
Look what's back A brand favorite is back in stock! Grab yours before it's gone again.,1
Your email has been selected for a donation from Johnlisa Foundation contact (info@johnlisafoundation.uk) to claim your donation,1
W͏e ͏h͏a͏v͏e ͏d͏e͏t͏e͏c͏t͏e͏d ͏a͏n ͏i͏s͏s͏u͏e ͏w͏i͏t͏h ͏y͏o͏u͏r ͏c͏u͏r͏r͏e͏n͏t ͏b͏i͏l͏l͏i͏n͏g ͏i͏n͏f͏o͏r͏m͏a͏t͏i͏o͏n. ͏I͏t'͏s ͏a͏p͏p͏e͏a͏r͏e͏d ͏t͏h͏a͏t ͏s͏o͏m͏e ͏o͏f ͏t͏h͏e ͏b͏i͏l͏l͏i͏n͏g ͏d͏e͏t͏a͏i͏l͏s ͏a͏s͏s͏o͏c͏i͏a͏t͏e͏d ͏w͏i͏t͏h ͏y͏o͏u͏r ͏a͏c͏c͏o͏u͏n͏t ͏m͏a͏y ͏h͏a͏v͏e ͏s͏o͏m͏e ͏p͏r͏o͏b͏l͏e͏m ͏o͏r ͏w͏a͏s ͏o͏t͏h͏e͏r͏w͏i͏s͏e ͏c͏h͏a͏n͏g͏e͏d,1
Born before 1976? Then you've gotta see THIS,1
"Can you handle this position account receivables agent for Metscco Heavy Steel Industries Co. Ltd , its customers/client in Canada or USA.",1
"WOW! These women are your perfect matches! Discrete, Beautiful, Women Waiting For You",1
IRS “loophole” protects your retirement from bank confiscations,1
"How are you, Get paid to shop. You make 217$ on every Weekly shopping that you made successfully.",1
"To protect your privacy, this is a reminder that you have your Web & App Activity setting turned on. Web & App Activity is a setting that lets you save to your Google Account the things you do on Google sites, apps, and services, including your searches and associated information, like location and language. It can also give you more personalized experiences across Google, like faster searches and better recommendations.",0
"Greetings from Amazon Web Services, We received a request to reset the password for the AWS account associated with this e-mail address. Click the link below to reset your password using our secure server:",0
"The recipes that New York Times Cooking readers couldn’t get enough of this week are about as hearty and comforting as they come, rich with nourishing ingredients like lentils, squash and, of course, chicken.",0
"Just a quick reminder, your membership from last year expires today. Because you selected recurring payments, your subscription was renewed without your assistance. The ($329.99) annual payment will now be successfully deducted from the updated card on file or the available funds in your account.",1
Thank you for patiently waiting to join the City of Ferndale Compost Program. The City appreciates your interest in separating your food scraps from your trash.,0
Keeping up with your animal companions' health services keeps them happy and healthy. Our records indicate that Sunny and Ozzie are now overdue for the following services and items:,0
"This is not a receipt. The original receipt for this purchase has been sent to the Family Organizer. If you have any questions about your bill, contact support.",0
