email,class
Nigerian prince needs money now! Send me $5000!,1
"Hello, you are invited to my wedding. Please RSVP ASAP!",0
I need money. Give me money. I give you car. Give me money.,1
You have won the lottery! Send $500 in preprocessing fees to get your payout!,1
"Hello, I am sending you this email to ensure that you ge the important documents attached.",0
Please forward me the presentation used in the meeting today. Thank you.,0
Only you can stop inflation! Send me $5000 and I promise that you will see a decrease in all prices immediately!,1
GIVE ME YOUR SOCIAL SECURITY NUMBER OR YOUR ACCOUNTS WILL BE DELETED ON EVERYTHING!!!!,1
hey how was the party?,0
I received your email and would like to discuss our options further. Please call me directly.,0
Your credit score has dropped! Click the link to find out what you can do to raise it. Bit.ly/fjKleuyfaFDHefjFBkerekfiREHkfefeiERIefiffbekREKJerhjebkeeEKLJLKEeepuheflkejfEl,1
"Congratulations! You have been selected as our lottery winner, you and your family have won a four day all expenses paid cruise to the Caribbean Islands!",1
"Security Alert: Unusual debit card activity detected. Dear Valued client, we are letting you know that due to irregular activity on your account, its mandatory for you to verify your account to continue using your credit card. Complete our quick verification process. If not done right away your account may be deactivated automatically. Confirm at http://itcare.co.kr/data/yourbank/index.html",1
Security Alert: Unusual debit card activity detected. Please sign in to your bank account and confirm the activity or contact our fraud department at 1-800-555-3245. https://www.bankofamerica.com,0
"New Login Detected. We noticed you logged in from a new device. If this was you there is nothing for you to do right now. Login - United States. Time- November 30, 2022 at 8:29 PM EST. Not you? Take a few minutes to secure this account. Make sure this email is from a verified sender.",0
"Your User ID was looked up. On August 9, 2022, your Bank User ID was looked up. This happens when you attempt to retreive your ID or when you reset your password using the Forgot ID/Password feature. If you are having problems logging in, call us at 800.933.6262. If you believe someone is fraudulently trying to access your account, please select the ""Fraud"" option.",0
"Dear Customer, This E-mail Has Been Sent to you to inform you that we were unable to process your las payment this might be due to either of the following reasons: 1- A recent change in your personal infromation (Billing Address, phone) or 2- Submitting incorrect payment information during bill payment process. To Update You Account Click Here. Due To This, To ensure that your service is not interrupted, we request you to Confirm and verify your information today.",1
"Your December account statement is available. Hi George, Access your account statements quickly and easily. Log in to your account and select the monthy statement you would like to view.",0
"Hello John1934 Thank you for your recent transaction on Steam. The items below have been added to your Steam Library. If you are new to Steam, you can get the free Steam application Here. This email will serve as your reciept. You can also view your purchase history at any time. Refunds and/or returns may be granted for many products on Steam. Learn more about Steam refunds here, or request a refund here.",0
"Dear Phil Smith, Thank you for your order. Your confirmation number is 35734636. Please keep this number for future reference. If you need the assistance of Customer Care, please visit our Support page.",0
Customer No._44645 We have been trying to to reach you- Please respond!,1
Dementia warning Harvard: deadly breakfast habit increases dementia by 82%,1
"YAY! We Received Your Order Next Up: We're preparing your order placed on January 12, 2023 at 10:06am ET. Check on your order or make changes at Order Status. Is this a gift? Product may arrive in manufacturer packaging and may display brand name and contents. Order Number: 9102239285 Your method of payment for this order is Visa. Order Date: 01/12/23",0
Online Gaming: P͏l͏e͏ase͏ V͏e͏r͏ify Your I͏n͏f͏orma͏t͏io͏n͏!,1
Top Doc: Neuropathic Pain? Do This Immediately,1
CashUSA: You can fund your next big expense or consolidate debt,1
Kick Your Belly Bulge Away in 2 Weeks,1
